epoch,step,train_loss,val_loss
0,4,,1.0541417598724365
1,9,,1.0540635585784912
2,14,,1.0589996576309204
3,19,,1.0570306777954102
4,24,,1.0521724224090576
5,29,,1.0500190258026123
6,34,,1.0508671998977661
7,39,,1.0538734197616577
8,44,,1.051733374595642
9,49,1.2496076822280884,
9,49,,1.0493485927581787
